,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Age,Gender,Education,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiouness,Impulsiveness,Sensation Seing
0,Less than a year,More than a year,Never,More than a year,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,35-44,Female,Professional certificate,11.211242021343695,8.242326500566598,8.713796688224836,7.35307531549839,9.980804535325428,8.56948605880682,4.4879643818699515
1,Less than a year,More than a year,More than a year,Never,Less than a year,Less than a year,Less than a year,More than a year,Never,Less than a year,Never,More than a year,Never,More than a year,More than a year,Never,Less than a year,Never,Never,25-34,Male,Masters or Doctorate Degree,8.269486768898341,15.92211806605517,15.251330248043086,12.196538465979286,9.587889249385167,6.758404574067456,9.313161059044399
2,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,Never,35-44,Male,Professional certificate,8.895758419420952,12.4595211259862,7.858778341651095,5.321213730674642,7.071609186112298,4.308016529682876,12.399149044675154
3,Less than a year,Never,Never,More than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,More than a year,Never,Never,Never,Never,More than a year,Never,Never,18-24,Female,Masters or Doctorate Degree,9.840894351534292,7.537668795606503,10.540454761850786,11.704268609497857,11.68830606518953,4.308016529682876,4.4879643818699515
4,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,Never,Never,More than a year,Never,Never,More than a year,Never,Never,More than a year,More than a year,Never,Never,35-44,Female,Masters or Doctorate Degree,12.46550682739983,5.010889053828274,9.139897077826394,9.12907434562228,13.770162454248403,8.56948605880682,9.313161059044399
5,More than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,65+,Female,School Dropout,8.269486768898341,9.082662121670285,5.566217691084504,15.887725294138022,14.707593899017423,4.308016529682876,2.6493609085522998
6,Less than a year,Never,Never,Never,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,45-54,Male,Masters or Doctorate Degree,8.895758419420952,6.664345297547595,9.139897077826394,9.12907434562228,12.711871745430614,8.56948605880682,10.791183462868197
7,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,35-44,Male,School Dropout,6.3401248684755345,15.92211806605517,7.858778341651095,9.12907434562228,14.707593899017423,10.071451478417035,7.762342477019955
8,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,35-44,Female,Professional certificate,12.151539930753945,17.859331140250404,7.441033496665879,12.196538465979286,13.273533928344628,4.308016529682876,2.6493609085522998
9,Less than a year,More than a year,Never,More than a year,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,55-64,Male,Masters or Doctorate Degree,9.550998843920343,10.010140717730678,5.9903749307752845,11.704268609497857,10.355938759251348,4.308016529682876,6.160226588104123
10,Less than a year,Never,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,More than a year,25-34,Female,University Degree,7.156949315033934,12.4595211259862,6.978855290387562,7.803461534020714,15.229681672805366,10.071451478417035,10.791183462868197
11,Less than a year,More than a year,Never,Never,Less than a year,Less than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,More than a year,Never,More than a year,Less than a year,Never,Never,45-54,Male,college - no degree,6.3401248684755345,10.010140717730678,11.060927465452414,4.4406759112794285,8.477496565022111,11.306852854668904,16.51503296076956
12,Less than a year,More than a year,Never,Less than a year,Less than a year,More than a year,Less than a year,More than a year,Never,Never,Never,Never,Never,More than a year,More than a year,More than a year,Less than a year,Never,Never,55-64,Female,University Degree,17.0663476935543,10.512136789729775,12.046816958516988,5.321213730674642,7.744027756930573,14.101358842555687,10.791183462868197
13,More than a year,Never,Never,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than a year,Never,Never,55-64,Female,Professional certificate,7.933318393835825,12.4595211259862,10.540454761850786,12.71784687503608,20.0,6.758404574067456,6.160226588104123
14,Less than a year,Never,Never,Never,Less than a year,Never,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,55-64,Female,Professional certificate,7.548858835105049,14.441787087689718,12.046816958516988,8.249806602085233,14.707593899017423,14.101358842555687,14.218653520690163
15,Less than a year,More than a year,More than a year,Never,Less than a year,More than a year,Less than a year,More than a year,Never,More than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,55-64,Male,University Degree,4.196554318677292,5.394037135797039,5.566217691084504,6.896021198720687,13.273533928344628,6.758404574067456,7.762342477019955
16,Less than a year,Never,Never,More than a year,Less than a year,More than a year,Less than a year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Less than a year,Never,Never,35-44,Female,college - no degree,5.679719928943397,7.537668795606503,5.160066973900259,10.830831668764215,12.188860280109457,8.56948605880682,0.0
